lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
1e-08,0,,,,,,,,,,,,,,,,
,49,104.57450866699219,0,,,,,,,,,,,,,,
,99,105.41014862060547,0,,,,,,,,,,,,,,
,119,,0,109.1229476928711,1746.5440673828125,0.0,1668.74169921875,77.8023910522461,,,,,,,,,
,119,,0,,,,,,2357.69873046875,0.0,2289.087158203125,68.6114501953125,,,,,
0.00011112,120,,,,,,,,,,,,,,,,
,149,18.988750457763672,1,,,,,,,,,,,,,,
,199,8.198070526123047,1,,,,,,,,,,,,,,
,239,,1,4.21743631362915,100.0,100.0,0.0,0.0,,,,,,,,,
,239,,1,,,,,,269.9807434082031,39.0312385559082,181.71734619140625,49.232147216796875,,,,,
0.00022223000000000002,240,,,,,,,,,,,,,,,,
,249,3.6151304244995117,2,,,,,,,,,,,,,,
,299,3.5231361389160156,2,,,,,,,,,,,,,,
,349,3.3094749450683594,2,,,,,,,,,,,,,,
,359,,2,4.2714524269104,99.7784652709961,99.73416137695312,0.0,0.04430660232901573,,,,,,,,,
,359,,2,,,,,,99.40526580810547,99.07408905029297,0.0013799003791064024,0.3297961950302124,,,,,
0.00033334,360,,,,,,,,,,,,,,,,
,399,3.2705671787261963,3,,,,,,,,,,,,,,
,449,3.1159660816192627,3,,,,,,,,,,,,,,
,479,,3,3.4986672401428223,100.0,100.0,0.0,0.0,,,,,,,,,
,479,,3,,,,,,99.47425842285156,99.25875091552734,0.0,0.21551132202148438,,,,,
0.00044445,480,,,,,,,,,,,,,,,,
,499,3.146519184112549,4,,,,,,,,,,,,,,
,549,2.976736545562744,4,,,,,,,,,,,,,,
,599,2.90214204788208,4,,,,,,,,,,,,,,
,599,,4,3.1914196014404297,99.31324768066406,99.2246322631836,0.0,0.08861320465803146,,,,,,,,,
,599,,4,,,,,,99.63458251953125,99.53018188476562,0.0,0.10440421104431152,,,,,
0.00055556,600,,,,,,,,,,,,,,,,
,649,2.8183727264404297,5,,,,,,,,,,,,,,
,699,2.8185102939605713,5,,,,,,,,,,,,,,
,719,,5,3.0217862129211426,97.00930786132812,96.65485382080078,0.0,0.35445281863212585,,,,,,,,,
,719,,5,,,,,,99.04621124267578,98.85408020019531,0.0,0.19213086366653442,,,,,
0.00066667,720,,,,,,,,,,,,,,,,
,749,2.9315907955169678,6,,,,,,,,,,,,,,
